id,key,english,thai,source_file,source_line,namespace,category,context,status,runtime_role,thai_signal,protected_reason,protected_terms,locked_spans,russian,notes,english_hash,classification_version,classification_source
bot_messages:group_up,group_up,Grouping up to push the {lane} lane.,รวมกลุ่มเพื่อดันเลน {lane},stringtables/bot_messages_en.str,25,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,85d630c98d439b3da443ce1f25538bd400148b605424c4d4bf8ccab8f051112c,3,AUTO
bot_messages:defend,defend,Going {lane} to defend.,ไปเลน {lane} เพื่อป้องกัน,stringtables/bot_messages_en.str,27,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,2dc8a25465083d17572a55271f8a7b271602bd3d3276f8cdaf99d3168bdc9a43,3,AUTO
bot_messages:glhf1,glhf1,"Good luck, have fun!",โชคดีนะทุกคน เล่นเกมกันให้สนุกล่ะ!,stringtables/bot_messages_en.str,29,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,e0909587bf3f167dd43b3d2c071cc23b506c021576eb5837f899d8f284ba93d3,3,AUTO
bot_messages:glhf2,glhf2,glhf,glhf,stringtables/bot_messages_en.str,30,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,SAME_AS_ENGLISH,,[],[],,,b2bcfc047b683382d92149624dba5b7fd642fbcc25cc7325f4587b0e837d54d7,3,AUTO
bot_messages:ggwp1,ggwp1,"Good game, well played.",GGWP,stringtables/bot_messages_en.str,31,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,cf70eab56dc3fa45f91a3a8f89bdbfed3a5057c0b08ba02908ffa4879ba91db3,3,AUTO
bot_messages:ggwp2,ggwp2,ggwp,ggwp,stringtables/bot_messages_en.str,32,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,SAME_AS_ENGLISH,,[],[],,,b7164d31127477b0ce1103bfff0dd51c41c9f9c0d47f4811a4c446048bcbd2d0,3,AUTO
bot_messages:lane_top,lane_top,Top,บน,stringtables/bot_messages_en.str,34,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,d5cdfcf7ff75338fa974145a13378ee35f7ea04cfabd74b8f5fb6df350cfbcca,3,AUTO
bot_messages:lane_bot,lane_bot,Bottom,ล่าง,stringtables/bot_messages_en.str,35,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,479ad21ac9096236e921c228a511f12cc84758e21d9edda03ae82c501d367c93,3,AUTO
bot_messages:lane_mid,lane_mid,Middle,กลาง,stringtables/bot_messages_en.str,36,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,d93006ec2e4339d770a7afd068c1f1e789a52df12f595e529fd0f302fc1e5ec7,3,AUTO
bot_messages:lane_jungle,lane_jungle,Jungle,ป่า,stringtables/bot_messages_en.str,37,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,349b3190be299fcce50a5d411d5d4155e9885d1dc76cda6858ac60bf965d6f30,3,AUTO
bot_messages:stolenid_ra_kill1,stolenid_ra_kill1,"I can't get no... SATISFACTION! - Noo, noo.",ความสะใจ... อยู่ไหนกันนะ! ไม่นะ ไม่!,stringtables/bot_messages_en.str,42,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,433d9df6383b9e613cd1be25c6dfc4c60aa36c11ebb9e97162a045ad32cc00e7,3,AUTO
bot_messages:stolenid_ra_kill2,stolenid_ra_kill2,My brother is a hand grenade...,พี่ชายของข้าเป็นลูกระเบิดมือ...,stringtables/bot_messages_en.str,43,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,c0e90db62c3957a1d25596b58dd0262ffa30a4a99c41fee647ee106515ae006e,3,AUTO
bot_messages:stolenid_ra_kill3,stolenid_ra_kill3,FIRE IN THE HOLE!,ระเบิดมาแล้ว!,stringtables/bot_messages_en.str,44,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,989765052ef5a866dd41727a86d6bc61a4f936eea55fe8493fc3737fd6b98718,3,AUTO
bot_messages:stolenid_ra_kill4,stolenid_ra_kill4,I'm RAther fantastic... get it?,ข้าคือ RAther fantastic... เก็ทป่ะ?,stringtables/bot_messages_en.str,45,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,652e2185ec73bbc50f67d4849d15947e639ed5720bddfdf2a48e1f9da2e04742,3,AUTO
bot_messages:stolenid_ra_kill5,stolenid_ra_kill5,"Ah, maaan, don't be sad.",เฮ้ย เจ้าน่ะ อย่าร้องสิ,stringtables/bot_messages_en.str,46,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,2611052c745be967c90c127bcc333ef16b8634c288c75acc7c988173126b6824,3,AUTO
bot_messages:stolenid_ra_kill6,stolenid_ra_kill6,The goal of the path of destruction is the path itself.,เป้าหมายของเส้นทางแห่งการทำลายล้าง... ก็คือเส้นทางนั้นเอง,stringtables/bot_messages_en.str,47,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,9860961a420891fd8b7ebc80f9a6064a63bde99a9b6ba2d1d7a3dce5cf0247aa,3,AUTO
bot_messages:stolenid_ra_deadwood1,stolenid_ra_deadwood1,Nice bonfire :),กองไฟนี้ดีจัง :),stringtables/bot_messages_en.str,50,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,62f2024d402697bdd3902ae76d2c321f90cb256d798beb373a8922878acfbb3d,3,AUTO
bot_messages:stolenid_ra_frosty1,stolenid_ra_frosty1,"Aww, you melted for me!",อ๊าาา เจ้าละลายเพราะข้าสินะ!,stringtables/bot_messages_en.str,51,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,3ac35f38f672b0e0524de0af26bd15109f3a1989ce2d2993e57c055719ec91f9,3,AUTO
bot_messages:stolenid_ra_frosty2,stolenid_ra_frosty2,All that's left of you is a puddle.,เหลือแค่แอ่งน้ำของเจ้าไว้นี่เอง,stringtables/bot_messages_en.str,52,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,acead9f51e8ffcd7698036bbbddff396400fbff1a9645b5b0c87a6c4660b0d4d,3,AUTO
bot_messages:stolenid_ra_treant1,stolenid_ra_treant1,Attention citizens! There's appears to be a forest fire.,ประชาชนทุกท่านโปรดทราบ! ดูเหมือนจะเกิดไฟป่าขึ้นนะ!,stringtables/bot_messages_en.str,53,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,e19891daec7b2cb6bfd964764b3c035bc2996b67a17dda301a7ab20f0fb2883c,3,AUTO
bot_messages:stolenid_ra_treant2,stolenid_ra_treant2,"I dislike your affection for unburned wood, {target}.",ข้าไม่ปลื้มความหลงใหลของเจ้าที่มีต่อไม้ที่ยังไม่ไหม้สักเท่าไหร่นะ {target},stringtables/bot_messages_en.str,54,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,f73a9525aafa9e62e3559b0b701e076fde9d65dc131c5eefe0e87261e8bc40e8,3,AUTO
bot_messages:stolenid_ra_mumra,stolenid_ra_mumra,"There can only be one king, {target}.",ราชันย์มีเพียงหนึ่งเดียวเท่านั้น {target},stringtables/bot_messages_en.str,55,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,3f7e0ccd610f4f01e77048af25bdae166dea1285ae3731c414b0ab7160bb4833,3,AUTO
bot_messages:stolenid_ra_rocky,stolenid_ra_rocky,"So rock can burn. Sorry, {target}, I didn't know that :/",เพิ่งรู้เลยว่าหินก็ไหม้ได้ ขอโทษนะ {target} :/,stringtables/bot_messages_en.str,56,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,53b9f8bce4e10dc976465eb47263e9e6e6450aea5d30fd1b513fbe3d88d54c66,3,AUTO
bot_messages:stolenid_ra_pyromancer1,stolenid_ra_pyromancer1,"I already stack enough heat for both of us, sorry.",ขอโทษทีนะ ข้าสะสมความร้อนไว้พอสำหรับเราทั้งคู่แล้ว,stringtables/bot_messages_en.str,57,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,d3c75d3e57fc7966c646d031007e2ec295b50ca38fc379512c803ed254c875ab,3,AUTO
bot_messages:stolenid_ra_pyromancer2,stolenid_ra_pyromancer2,"You shall not burn others, as I do.",เจ้าไม่ควรแผดเผาผู้อื่น... ปล่อยให้เป็นหน้าที่ของข้าจะดีกว่า,stringtables/bot_messages_en.str,58,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,b2097f92e8f50d192605091e51df5a84770b7411f196cca4c492ccf175d56082,3,AUTO
bot_messages:stolenid_ra_zephyr1,stolenid_ra_zephyr1,ROAST TURKEY!,ไก่งวงย่าง!,stringtables/bot_messages_en.str,59,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,9c511be129358c285553755e6084f313045fe563121649f04e92b3b227b08ee9,3,AUTO
bot_messages:stolenid_ra_zephyr2,stolenid_ra_zephyr2,"It smells like Thanksgiving, doesn't it?",กลิ่นนี้เหมือนอาหารวันขอบคุณพระเจ้าเลย ว่าไหมล่ะ?,stringtables/bot_messages_en.str,60,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,67a627da22776e80c0dc2237bdedb44aab584f4844c7c33233604817201d4ff9,3,AUTO
bot_messages:stolenid_ra_ult_respawn1,stolenid_ra_ult_respawn1,B-B-Baby you ain't seen n-n-nothing yet!,บะ...บะ...เบบี้ เจ้ายังไม่ทันเห็นฝีมือข้าเลย!,stringtables/bot_messages_en.str,63,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,1902cf75290d853ed5dd99d068c6150f5ae6a61f7fe81ce6af34d94ae8866bfd,3,AUTO
bot_messages:stolenid_ra_ult_respawn2,stolenid_ra_ult_respawn2,Oops I did it again ;),อุ๊ปส์! ข้าทำมันลงไปอีกแล้ว ;),stringtables/bot_messages_en.str,64,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,7965507cfccf4193d3cd3356ef42a435d8b243798cae128f616c4794d16a47d1,3,AUTO
bot_messages:stolenid_ra_ult_respawn3,stolenid_ra_ult_respawn3,Stop. Phoenix time.,หยุด นี่คือเวลาของ Phoenix,stringtables/bot_messages_en.str,65,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,d66e01decb204e0655da3c15fc0cc8a04a33dbd1f0b4b3d63527582b7e8b1b2a,3,AUTO
bot_messages:stolenid_ra_ult_respawn4,stolenid_ra_ult_respawn4,Rewind is for sissies.,ย้อนเวลาเหรอ? มีแต่เด็ก ๆ เขาทำกัน!,stringtables/bot_messages_en.str,66,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,758e3bb1788697febfd621cbe4ae9c82125c1afa2a25c169309d3a5ac077f5d2,3,AUTO
bot_messages:stolenid_ra_ult_respawn5,stolenid_ra_ult_respawn5,I'm burning! I'M BURNING!!! HAAAALP!!,ข้ากำลังถูกเผา! ข้ากำลังถูกเผาจริง ๆ!!! ช่วยด้วยยยย!!,stringtables/bot_messages_en.str,67,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,4a88f1878a5151b53b05bf08e9553ba0878ef0f322498a7a67d8f38525e1a75c,3,AUTO
bot_messages:stolenid_ra_ult_respawn6,stolenid_ra_ult_respawn6,GIMME A HUG!!,กอดข้าหน่อยสิ!!,stringtables/bot_messages_en.str,68,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,202a8019767e3d49b007af8398dd5c009c2e712e62d569657bbb6cc766f06c50,3,AUTO
bot_messages:stolenid_ra_respawn1,stolenid_ra_respawn1,"Strange, I thought I'd respawn faster.",แปลกจัง ข้าคิดว่าจะคืนชีพเร็วกว่านี้,stringtables/bot_messages_en.str,69,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,212afa6c11c8845eb48087a72d87da0cf59919355b10e88832c7e22f1c65d96d,3,AUTO
bot_messages:stolenid_ra_respawn2,stolenid_ra_respawn2,"Took some time, but I'm back again...",ถึงแม้จะใช้เวลานานไปสักหน่อย แต่ข้ากลับมาแล้ว...,stringtables/bot_messages_en.str,70,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,a76f2286188407904081b9cb78484df75551c1a718015985162aa8d64c6a7ad8,3,AUTO
bot_messages:stolenid_ra_respawn3,stolenid_ra_respawn3,"Geeez, why am I at base again?",ให้ตายสิ ทำไมข้ากลับมาที่ฐานอีกแล้วเนี่ย,stringtables/bot_messages_en.str,71,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,bad5a295efa08753449d69892ab85189e41a76d704fea8690e455344de1f5729,3,AUTO
bot_messages:stolenid_ra_respawn4,stolenid_ra_respawn4,What!? My ultimate was down?!?,อะไรนะ!? อัลติของข้าติดคูลดาวน์อยู่เหรอ?!?,stringtables/bot_messages_en.str,72,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,730089cb0143b1100fb8427b78b4d15896bf3a179d5756844600592b5ead5d0e,3,AUTO
bot_messages:mellow_ink_ellonia_kill1,mellow_ink_ellonia_kill1,"Outta my way, tomboy!",อย่าขวางทางข้า เจ้าเด็กน้อย!,stringtables/bot_messages_en.str,77,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,b4c80ddc58aaca11107623988f52ca54ec882f7ca51c5b92d1171276a4e45257,3,AUTO
bot_messages:mellow_ink_ellonia_kill2,mellow_ink_ellonia_kill2,NOT THIS TIME! HAHAHAH!,คราวนี้ไม่รอดหรอก! ฮ่าฮ่าฮ่าฮ่า!,stringtables/bot_messages_en.str,78,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,8f5a7fa655c48647ba7bda75c8df9efc5a046ff54de4da48e06b40fc4260f0a4,3,AUTO
bot_messages:mellow_ink_ellonia_kill3,mellow_ink_ellonia_kill3,This was so much easier than I thought it would be!,นี่มันง่ายกว่าที่ข้าคิดไว้มากเลยนะเนี่ย!,stringtables/bot_messages_en.str,79,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,ac7e25eb6e81459c34af3a6893d9b7576245463d48164cf2b6473d6e611d664b,3,AUTO
bot_messages:mellow_ink_ellonia_death1,mellow_ink_ellonia_death1,You're totally ice-blocking my game!,เจ้านี่มันตัวขวางชัยชนะของข้าชัด ๆ เลยนะ!,stringtables/bot_messages_en.str,81,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,257b230582a7bbb5fce78ac35cf432cc3ecc3cf8546452f2bb274e7060335535,3,AUTO
bot_messages:mellow_ink_ellonia_death2,mellow_ink_ellonia_death2,My magic tiara... my powers!,มงกุฎเวทมนตร์ของข้า... พลังของข้า!,stringtables/bot_messages_en.str,82,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,37e2f84fa6818f83c3b120c89001242a1b36e8cb5a24b59a120307252b84f176,3,AUTO
bot_messages:mellow_ink_ellonia_death3,mellow_ink_ellonia_death3,My powers! Foul and noisome whelp! You've not seen the last of my wintery fangs!,พลังของข้า! เจ้าตัวน่ารังเกียจ! อย่าคิดว่าจะหนีพ้นเขี้ยวน้ำแข็งของข้าไปได้ เรายังไม่จบกันแค่นี้!,stringtables/bot_messages_en.str,83,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,b5470a940abc54d4987a149115f60c3ef03476531f4ff11ddb8b07ea370e66a3,3,AUTO
bot_messages:fane_maciuca_rhapsody_kill1,fane_maciuca_rhapsody_kill1,Theeeere's a laaaady who's sure... all that glitters is GOLD,มีหญิงสาวคนหนึ่ง... ที่มั่นใจว่า ทุกสิ่งที่เปล่งประกายนั้นคือทองคำ~,stringtables/bot_messages_en.str,88,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,3819d4c4939d83b60a68d20797bb73a2334c0e0a0505b3781a6e5d7e9dbecb9b,3,AUTO
bot_messages:fane_maciuca_rhapsody_kill2,fane_maciuca_rhapsody_kill2,Whanna whole lotta love!,อยากได้... รักล้น ๆ กันไหมล่ะ!,stringtables/bot_messages_en.str,89,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,7f02c9e76ee294d034f79d0da7a045809f445fe80be974de95095113d409c367,3,AUTO
bot_messages:fane_maciuca_rhapsody_kill3,fane_maciuca_rhapsody_kill3,OH! The song remains the saaame,โอ้! บทเพลงยังคงเหมือนเดิม,stringtables/bot_messages_en.str,90,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,f42a93385dee1ba05a7d617233f5d5fb3de20e79603b95cf9264eab1477fd914,3,AUTO
bot_messages:fane_maciuca_rhapsody_kill4,fane_maciuca_rhapsody_kill4,"Close the doors, put out the light, You know you won't be home tonight...",ปิดประตู... ดับไฟซะ คืนนี้เจ้าคงไม่ได้กลับบ้านแล้วล่ะ...,stringtables/bot_messages_en.str,91,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,5cdadd5206104614ea2860e89c05100b27b8a2a91198ba7ab8f9a55efb0a89df,3,AUTO
bot_messages:fane_maciuca_rhapsody_kill5,fane_maciuca_rhapsody_kill5,It's just a spring clean for the May queen,แค่ล้างบ้านต้อนรับราชินีเดือนพฤษภาคมเท่านั้นเอง~,stringtables/bot_messages_en.str,92,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,7f64e32407181088f115bf7ea7ebd2729c177d141720fdda41b3821d661b6a73,3,AUTO
